term	gene
H.Liver.Normal.KupfferCell.17692868	ITGAM
H.Liver.Normal.KupfferCell.17692868	CD14
H.Liver.Normal.KupfferCell.17692868	ITGB2
H.Liver.Normal.KupfferCell.17692868	FCGR2A
H.Liver.Normal.KupfferCell.17692868	FCGR2B
H.Liver.Normal.KupfferCell.17692868	FCGR2C
H.Liver.Normal.KupfferCell.17692868	CD68
H.Bone.Normal.Osteocyte.27109824	DMP1
H.Bone.Normal.Osteocyte.27109824	NA
H.Bone.Normal.Osteocyte.27109824	MEPE
H.Bone.Normal.Osteocyte.27109824	PHEX
H.Bone.Normal.Osteocyte.27109824	SOST
H.PeripheralBlood.Normal.Monocyte.29610856	ITGAM
H.PeripheralBlood.Normal.Monocyte.29610856	FCGR3A
H.PeripheralBlood.Normal.Monocyte.29610856	FCGR3B
H.PeripheralBlood.Normal.Monocyte.29610856	CD19
H.PeripheralBlood.Normal.Monocyte.29610856	CD2
H.PeripheralBlood.Normal.Monocyte.29610856	CD3D
H.PeripheralBlood.Normal.Monocyte.29610856	CD3E
H.PeripheralBlood.Normal.Monocyte.29610856	CD3G
H.PeripheralBlood.Normal.Monocyte.29610856	NCAM1
H.PeripheralBlood.Normal.Monocyte.29610856	KLRD1
H.PeripheralBlood.Normal.Monocyte.29610856	KLRC1
H.Blood.Normal.NaturalKillerCell.29610856	ITGAM
H.Blood.Normal.NaturalKillerCell.29610856	FCGR3A
H.Blood.Normal.NaturalKillerCell.29610856	FCGR3B
H.Blood.Normal.NaturalKillerCell.29610856	CD19
H.Blood.Normal.NaturalKillerCell.29610856	CD2
H.Blood.Normal.NaturalKillerCell.29610856	CD3D
H.Blood.Normal.NaturalKillerCell.29610856	CD3E
H.Blood.Normal.NaturalKillerCell.29610856	CD3G
H.Blood.Normal.NaturalKillerCell.29610856	NCAM1
H.Blood.Normal.NaturalKillerCell.29610856	KLRD1
H.Blood.Normal.NaturalKillerCell.29610856	KLRC1
H.Gingiva.Normal.MesenchymalStemCell.29604386	ENG
H.Gingiva.Normal.MesenchymalStemCell.29604386	ALCAM
H.Gingiva.Normal.MesenchymalStemCell.29604386	ITGB1
H.Gingiva.Normal.MesenchymalStemCell.29604386	CD44
H.Gingiva.Normal.MesenchymalStemCell.29604386	ITGA5
