term	gene
M_TasteBud_Normal_TypeIiiTasteBudCell_29525940	Ddc
M_TasteBud_Normal_TypeIiiTasteBudCell_29525940	Car4
M_TasteBud_Normal_TypeIiiTasteBudCell_29525940	Gad1
M_TasteBud_Normal_TypeIiiTasteBudCell_29525940	Ncam1
M_TasteBud_Normal_TypeIiiTasteBudCell_29525940	Snap25
M_Meniscus_Normal_Meniscus-DerivedStemCell_28005443	Eng
M_Meniscus_Normal_Meniscus-DerivedStemCell_28005443	Cd34
M_Meniscus_Normal_Meniscus-DerivedStemCell_28005443	Cd44
M_Meniscus_Normal_Meniscus-DerivedStemCell_28005443	Nt5e
M_Meniscus_Normal_Meniscus-DerivedStemCell_28005443	Thy1
M_Meniscus_Normal_Meniscus-DerivedStemCell_28005443	Ly6a
M_Meniscus_Normal_Meniscus-DerivedProgenitorCell_28005443	Eng
M_Meniscus_Normal_Meniscus-DerivedProgenitorCell_28005443	Cd34
M_Meniscus_Normal_Meniscus-DerivedProgenitorCell_28005443	Cd44
M_Meniscus_Normal_Meniscus-DerivedProgenitorCell_28005443	Nt5e
M_Meniscus_Normal_Meniscus-DerivedProgenitorCell_28005443	Thy1
M_Meniscus_Normal_Meniscus-DerivedProgenitorCell_28005443	Ly6a
M_Epidermis_Normal_EpidermalStemCell_24660112	Itgb1
M_Epidermis_Normal_EpidermalStemCell_24660112	Cd34
M_Epidermis_Normal_EpidermalStemCell_24660112	Krt14
M_Epidermis_Normal_EpidermalStemCell_24660112	Krt15
M_Epidermis_Normal_EpidermalStemCell_24660112	Tcp1
M_Lung_LungCancer_CancerStemCell_29228576	Prom1
M_Lung_LungCancer_CancerStemCell_29228576	Myc
M_Lung_LungCancer_CancerStemCell_29228576	Klf4
M_Lung_LungCancer_CancerStemCell_29228576	Pou5f1
M_Lung_LungCancer_CancerStemCell_29228576	Sox2
M_BoneMarrow_Normal_MesenchymalStemCell_28537524	Eng
M_BoneMarrow_Normal_MesenchymalStemCell_28537524	Vcam1
M_BoneMarrow_Normal_MesenchymalStemCell_28537524	Itgam
M_BoneMarrow_Normal_MesenchymalStemCell_28537524	Itgb1
M_BoneMarrow_Normal_MesenchymalStemCell_28537524	Cd44
M_BoneMarrow_Normal_MesenchymalStemCell_28537524	Ptprc
M_BoneMarrow_Normal_MesenchymalStemCell_28537524	Nt5e
M_BoneMarrow_Normal_MesenchymalStemCell_28537524	Ly6a
M_Cerebellum_Normal_RhombicLipCell_25209290	Lmx1a
M_Cerebellum_Normal_RhombicLipCell_25209290	Atoh1
M_Cerebellum_Normal_RhombicLipCell_25209290	Pax6
M_Cerebellum_Normal_RhombicLipCell_25209290	Eomes
M_Cerebellum_Normal_RhombicLipCell_25209290	Wls
M_Dermis_Normal_EndothelialCell_24602018	Eng
M_Dermis_Normal_EndothelialCell_24602018	Itgam
M_Dermis_Normal_EndothelialCell_24602018	Pecam1
M_Dermis_Normal_EndothelialCell_24602018	Ptprc
M_Dermis_Normal_EndothelialCell_24602018	Flt1
M_Dermis_Normal_EndothelialCell_24602018	Kdr
M_UmbilicalCord_Normal_UnrestrictedSomaticStemCell_29087592	Eng
M_UmbilicalCord_Normal_UnrestrictedSomaticStemCell_29087592	Alcam
