term	gene
UpInTRM.Mackay.28628092.SupplTable10	8430419L09RIK
UpInTRM.Mackay.28628092.SupplTable10	ABI3
UpInTRM.Mackay.28628092.SupplTable10	AMICA1
UpInTRM.Mackay.28628092.SupplTable10	ARRDC3
UpInTRM.Mackay.28628092.SupplTable10	ATF3
UpInTRM.Mackay.28628092.SupplTable10	B4GALNT4
UpInTRM.Mackay.28628092.SupplTable10	BTG2
UpInTRM.Mackay.28628092.SupplTable10	CD244
UpInTRM.Mackay.28628092.SupplTable10	CD69
UpInTRM.Mackay.28628092.SupplTable10	CDH1
UpInTRM.Mackay.28628092.SupplTable10	CISH
UpInTRM.Mackay.28628092.SupplTable10	CSRNP1
UpInTRM.Mackay.28628092.SupplTable10	CTNNA1
UpInTRM.Mackay.28628092.SupplTable10	CXCR6
UpInTRM.Mackay.28628092.SupplTable10	DDX3X
UpInTRM.Mackay.28628092.SupplTable10	DGAT1
UpInTRM.Mackay.28628092.SupplTable10	DHCR24
UpInTRM.Mackay.28628092.SupplTable10	DUSP1
UpInTRM.Mackay.28628092.SupplTable10	DUSP5
UpInTRM.Mackay.28628092.SupplTable10	DUSP6
UpInTRM.Mackay.28628092.SupplTable10	EGR1
UpInTRM.Mackay.28628092.SupplTable10	EHD1
UpInTRM.Mackay.28628092.SupplTable10	EYA2
UpInTRM.Mackay.28628092.SupplTable10	FOS
UpInTRM.Mackay.28628092.SupplTable10	FOSB
UpInTRM.Mackay.28628092.SupplTable10	FOSL2
UpInTRM.Mackay.28628092.SupplTable10	FRMD4B
UpInTRM.Mackay.28628092.SupplTable10	GADD45B
UpInTRM.Mackay.28628092.SupplTable10	GLRX
UpInTRM.Mackay.28628092.SupplTable10	GPR171
UpInTRM.Mackay.28628092.SupplTable10	GPR34
UpInTRM.Mackay.28628092.SupplTable10	GPR55
UpInTRM.Mackay.28628092.SupplTable10	GPR56
UpInTRM.Mackay.28628092.SupplTable10	GSG2
UpInTRM.Mackay.28628092.SupplTable10	HILPDA
UpInTRM.Mackay.28628092.SupplTable10	HMGCS1
UpInTRM.Mackay.28628092.SupplTable10	HOBIT
UpInTRM.Mackay.28628092.SupplTable10	HPGDS
UpInTRM.Mackay.28628092.SupplTable10	HSPA5
UpInTRM.Mackay.28628092.SupplTable10	HSPD1
UpInTRM.Mackay.28628092.SupplTable10	IFNG
UpInTRM.Mackay.28628092.SupplTable10	INPP4B
UpInTRM.Mackay.28628092.SupplTable10	INSIG1
UpInTRM.Mackay.28628092.SupplTable10	IRF4
UpInTRM.Mackay.28628092.SupplTable10	ISG20
UpInTRM.Mackay.28628092.SupplTable10	ITGAE
UpInTRM.Mackay.28628092.SupplTable10	JUN
UpInTRM.Mackay.28628092.SupplTable10	JUNB
UpInTRM.Mackay.28628092.SupplTable10	KLF6
UpInTRM.Mackay.28628092.SupplTable10	LAD1
UpInTRM.Mackay.28628092.SupplTable10	LDLRAD4
UpInTRM.Mackay.28628092.SupplTable10	LITAF
UpInTRM.Mackay.28628092.SupplTable10	LY6G5B
UpInTRM.Mackay.28628092.SupplTable10	MAPKAPK3
UpInTRM.Mackay.28628092.SupplTable10	NEDD4
UpInTRM.Mackay.28628092.SupplTable10	NEURL3
UpInTRM.Mackay.28628092.SupplTable10	NFKBID
UpInTRM.Mackay.28628092.SupplTable10	NR4A1
UpInTRM.Mackay.28628092.SupplTable10	NR4A2
UpInTRM.Mackay.28628092.SupplTable10	ODC1
UpInTRM.Mackay.28628092.SupplTable10	OSGIN1
UpInTRM.Mackay.28628092.SupplTable10	P2RY10
UpInTRM.Mackay.28628092.SupplTable10	P4HB
UpInTRM.Mackay.28628092.SupplTable10	PER1
UpInTRM.Mackay.28628092.SupplTable10	PLK3
UpInTRM.Mackay.28628092.SupplTable10	PNRC1
UpInTRM.Mackay.28628092.SupplTable10	PPP1R15A
UpInTRM.Mackay.28628092.SupplTable10	PPP1R16B
UpInTRM.Mackay.28628092.SupplTable10	PYGL
UpInTRM.Mackay.28628092.SupplTable10	QPCT
UpInTRM.Mackay.28628092.SupplTable10	RGS2
UpInTRM.Mackay.28628092.SupplTable10	RHOB
UpInTRM.Mackay.28628092.SupplTable10	RNF149
UpInTRM.Mackay.28628092.SupplTable10	SC4MOL
UpInTRM.Mackay.28628092.SupplTable10	SIK1
UpInTRM.Mackay.28628092.SupplTable10	SKIL
UpInTRM.Mackay.28628092.SupplTable10	SMIM3
UpInTRM.Mackay.28628092.SupplTable10	SPSB1
UpInTRM.Mackay.28628092.SupplTable10	STARD4
UpInTRM.Mackay.28628092.SupplTable10	TNFAIP3
UpInTRM.Mackay.28628092.SupplTable10	TRAF4
UpInTRM.Mackay.28628092.SupplTable10	VDAC1
UpInTRM.Mackay.28628092.SupplTable10	XCL1
UpInTRM.Mackay.28628092.SupplTable10	ZFP36
TRMstem.Anadon.35427494.SupplTable4	DNAJB1
TRMstem.Anadon.35427494.SupplTable4	IL7R
TRMstem.Anadon.35427494.SupplTable4	GZMK
TRMstem.Anadon.35427494.SupplTable4	HSPA1A
TRMstem.Anadon.35427494.SupplTable4	HSPA6
TRMstem.Anadon.35427494.SupplTable4	HSPA1B
TRMstem.Anadon.35427494.SupplTable4	ITM2C
TRMstem.Anadon.35427494.SupplTable4	GIMAP7
TRMstem.Anadon.35427494.SupplTable4	ANXA1
TRMstem.Anadon.35427494.SupplTable4	GIMAP4
TRMstem.Anadon.35427494.SupplTable4	FOS
TRMstem.Anadon.35427494.SupplTable4	NCF1
TRMstem.Anadon.35427494.SupplTable4	BTG1
TRMstem.Anadon.35427494.SupplTable4	DKK3
TRMstem.Anadon.35427494.SupplTable4	PPP1R14B
TRMstem.Anadon.35427494.SupplTable4	TC2N
TRMstem.Anadon.35427494.SupplTable4	KLRG1
TRMstem.Anadon.35427494.SupplTable4	DUSP1
TRMstem.Anadon.35427494.SupplTable4	CXCR4
TRMstem.Anadon.35427494.SupplTable4	EEF1A1
TRMstem.Anadon.35427494.SupplTable4	ERN1
TRMstem.Anadon.35427494.SupplTable4	GPR183
TRMstem.Anadon.35427494.SupplTable4	HSP90AA1
TRMstem.Anadon.35427494.SupplTable4	HSPH1
TRMstem.Anadon.35427494.SupplTable4	CCR7
TRMstem.Anadon.35427494.SupplTable4	FCMR
TRMstem.Anadon.35427494.SupplTable4	LYAR
TRMstem.Anadon.35427494.SupplTable4	CD8B
TRMstem.Anadon.35427494.SupplTable4	TCF7
TRMstem.Anadon.35427494.SupplTable4	S100A10
TRMstem.Anadon.35427494.SupplTable4	ZFP36L2
TRMstem.Anadon.35427494.SupplTable4	SPOCK2
TRMstem.Anadon.35427494.SupplTable4	TXNIP
TRMstem.Anadon.35427494.SupplTable4	OCIAD2
TRMstem.Anadon.35427494.SupplTable4	EEF1B2
TRMstem.Anadon.35427494.SupplTable4	JUNB
TRMstem.Anadon.35427494.SupplTable4	IFNGR1
TRMstem.Anadon.35427494.SupplTable4	FLT3LG
TRMstem.Anadon.35427494.SupplTable4	PDCD4
TRMstem.Anadon.35427494.SupplTable4	MGAT4A
TRMstem.Anadon.35427494.SupplTable4	SORL1
TRMstem.Anadon.35427494.SupplTable4	ZFP36
TRMstem.Anadon.35427494.SupplTable4	FTH1
TRMstem.Anadon.35427494.SupplTable4	GZMM
TRMstem.Anadon.35427494.SupplTable4	FAM102A
TRMstem.Anadon.35427494.SupplTable4	CLDND1
TRMstem.Anadon.35427494.SupplTable4	GCHFR
TRMstem.Anadon.35427494.SupplTable4	LINC00861
TRMstem.Anadon.35427494.SupplTable4	CMC1
TRMstem.Anadon.35427494.SupplTable4	MYBL1
TRMstem.Anadon.35427494.SupplTable4	SMDT1
TRMstem.Anadon.35427494.SupplTable4	SERP1
TRMstem.Anadon.35427494.SupplTable4	LY9
TRMstem.Anadon.35427494.SupplTable4	EPHA1
TRMstem.Anadon.35427494.SupplTable4	SNHG8
TRMstem.Anadon.35427494.SupplTable4	IER2
TRMstem.Anadon.35427494.SupplTable4	LSR
TRMstem.Anadon.35427494.SupplTable4	RGCC
TRMstem.Anadon.35427494.SupplTable4	SORBS3
TRMstem.Anadon.35427494.SupplTable4	ZFAS1
TRMstem.Anadon.35427494.SupplTable4	NXPH4
TRMstem.Anadon.35427494.SupplTable4	LTB
TRMstem.Anadon.35427494.SupplTable4	SELL
TRMstem.Anadon.35427494.SupplTable4	NOSIP
TRMstem.Anadon.35427494.SupplTable4	CD48
TRMstem.Anadon.35427494.SupplTable4	TPT1
TRMstem.Anadon.35427494.SupplTable4	XCL1
TRMstem.Anadon.35427494.SupplTable4	EEF2
TRMstem.Anadon.35427494.SupplTable4	CACYBP
TRMstem.Anadon.35427494.SupplTable4	ERP29
TRMstem.Anadon.35427494.SupplTable4	SATB1
TRMstem.Anadon.35427494.SupplTable4	RARRES3
TRMstem.Anadon.35427494.SupplTable4	TSC22D3
TRMeffector.Anadon.35427494.SupplTable4	GNLY
TRMeffector.Anadon.35427494.SupplTable4	ZNF683
TRMeffector.Anadon.35427494.SupplTable4	RNF213
TRMeffector.Anadon.35427494.SupplTable4	MX1
TRMeffector.Anadon.35427494.SupplTable4	RSAD2
TRMeffector.Anadon.35427494.SupplTable4	SAMD9L
TRMeffector.Anadon.35427494.SupplTable4	XAF1
TRMeffector.Anadon.35427494.SupplTable4	TYROBP
TRMeffector.Anadon.35427494.SupplTable4	PARP14
TRMeffector.Anadon.35427494.SupplTable4	AHNAK
TRMeffector.Anadon.35427494.SupplTable4	SLFN5
TRMeffector.Anadon.35427494.SupplTable4	APOL6
TRMeffector.Anadon.35427494.SupplTable4	MACF1
TRMeffector.Anadon.35427494.SupplTable4	XRN1
TRMeffector.Anadon.35427494.SupplTable4	IFIT3
TRMeffector.Anadon.35427494.SupplTable4	IFIT1
TRMeffector.Anadon.35427494.SupplTable4	XIST
TRMeffector.Anadon.35427494.SupplTable4	MALAT1
TRMeffector.Anadon.35427494.SupplTable4	MBP
TRMeffector.Anadon.35427494.SupplTable4	STAT1
TRMeffector.Anadon.35427494.SupplTable4	SAMD9
TRMeffector.Anadon.35427494.SupplTable4	IRF1
TRMeffector.Anadon.35427494.SupplTable4	ARAP2
TRMeffector.Anadon.35427494.SupplTable4	EPSTI1
TRMeffector.Anadon.35427494.SupplTable4	ADAR
TRMeffector.Anadon.35427494.SupplTable4	LNPEP
TRMeffector.Anadon.35427494.SupplTable4	DDX58
TRMeffector.Anadon.35427494.SupplTable4	NEAT1
TRMeffector.Anadon.35427494.SupplTable4	TNFSF10
TRMeffector.Anadon.35427494.SupplTable4	SYNE2
TRMeffector.Anadon.35427494.SupplTable4	GBP1
TRMeffector.Anadon.35427494.SupplTable4	ATP2B4
TRMeffector.Anadon.35427494.SupplTable4	ISG20
TRMeffector.Anadon.35427494.SupplTable4	AOAH
TRMeffector.Anadon.35427494.SupplTable4	KLRC3
TRMeffector.Anadon.35427494.SupplTable4	HERC5
TRMeffector.Anadon.35427494.SupplTable4	DDX17
TRMeffector.Anadon.35427494.SupplTable4	EML4
TRMeffector.Anadon.35427494.SupplTable4	KIAA1551
TRMeffector.Anadon.35427494.SupplTable4	UTRN
TRMeffector.Anadon.35427494.SupplTable4	IKZF3
TRMeffector.Anadon.35427494.SupplTable4	SETX
TRMeffector.Anadon.35427494.SupplTable4	CD38
TRMeffector.Anadon.35427494.SupplTable4	GPRIN3
TRMeffector.Anadon.35427494.SupplTable4	MYCBP2
TRMeffector.Anadon.35427494.SupplTable4	PTGDR
TRMeffector.Anadon.35427494.SupplTable4	EIF2AK2
TRMeffector.Anadon.35427494.SupplTable4	STOM
TRMeffector.Anadon.35427494.SupplTable4	SMCHD1
TRMeffector.Anadon.35427494.SupplTable4	SAT1
TRMeffector.Anadon.35427494.SupplTable4	NKTR
TRMeffector.Anadon.35427494.SupplTable4	CMPK2
TRMeffector.Anadon.35427494.SupplTable4	NCR3
TRMeffector.Anadon.35427494.SupplTable4	FOSB
TRMeffector.Anadon.35427494.SupplTable4	PARP8
TRMeffector.Anadon.35427494.SupplTable4	TLN1
TRMeffector.Anadon.35427494.SupplTable4	ASH1L
TRMeffector.Anadon.35427494.SupplTable4	SAMHD1
TRMeffector.Anadon.35427494.SupplTable4	ATM
TRMeffector.Anadon.35427494.SupplTable4	DOCK10
TRMeffector.Anadon.35427494.SupplTable4	PARP9
TRMeffector.Anadon.35427494.SupplTable4	HELZ2
TRMeffector.Anadon.35427494.SupplTable4	ITGA1
TRMeffector.Anadon.35427494.SupplTable4	PDE4B
TRMeffector.Anadon.35427494.SupplTable4	GBP5
TRMeffector.Anadon.35427494.SupplTable4	CHD2
TRMeffector.Anadon.35427494.SupplTable4	MATK
TRMeffector.Anadon.35427494.SupplTable4	SEMA4D
TRMeffector.Anadon.35427494.SupplTable4	PTPRC
TRMeffector.Anadon.35427494.SupplTable4	FCRL6
TRMeffector.Anadon.35427494.SupplTable4	KLF6
TRMeffector.Anadon.35427494.SupplTable4	SMG1
TRMeffector.Anadon.35427494.SupplTable4	OAS3
TRMeffector.Anadon.35427494.SupplTable4	PPM1K
TRMeffector.Anadon.35427494.SupplTable4	HERC1
TRMeffector.Anadon.35427494.SupplTable4	IFIT2
TRMeffector.Anadon.35427494.SupplTable4	SLC2A3
TRMeffector.Anadon.35427494.SupplTable4	ROCK1
TRMeffector.Anadon.35427494.SupplTable4	LTB
TRMeffector.Anadon.35427494.SupplTable4	IL10RA
TRMeffector.Anadon.35427494.SupplTable4	OASL
TRMeffector.Anadon.35427494.SupplTable4	TNFAIP3
TRMeffector.Anadon.35427494.SupplTable4	WNK1
TRMeffector.Anadon.35427494.SupplTable4	ARID4B
TRMeffector.Anadon.35427494.SupplTable4	LPIN1
TRMeffector.Anadon.35427494.SupplTable4	MAP4
TRMeffector.Anadon.35427494.SupplTable4	ZBP1
TRMeffector.Anadon.35427494.SupplTable4	LPIN2
TRMeffector.Anadon.35427494.SupplTable4	SLAMF7
TRMeffector.Anadon.35427494.SupplTable4	CHST12
TRMeffector.Anadon.35427494.SupplTable4	ERAP2
TRMeffector.Anadon.35427494.SupplTable4	CAST
TRMeffector.Anadon.35427494.SupplTable4	RBL2
TRMeffector.Anadon.35427494.SupplTable4	GOLGB1
TRMeffector.Anadon.35427494.SupplTable4	ANKRD12
TRMeffector.Anadon.35427494.SupplTable4	PARP10
TRMeffector.Anadon.35427494.SupplTable4	TGFBR2
TRMeffector.Anadon.35427494.SupplTable4	CISH
TRMeffector.Anadon.35427494.SupplTable4	DYNC1H1
TRMeffector.Anadon.35427494.SupplTable4	STK17B
TRMeffector.Anadon.35427494.SupplTable4	PTPN22
TRMeffector.Anadon.35427494.SupplTable4	SCML4
TRMeffector.Anadon.35427494.SupplTable4	FNBP1
TRMeffector.Anadon.35427494.SupplTable4	FOS
TRMeffector.Anadon.35427494.SupplTable4	ST3GAL1
TRMeffector.Anadon.35427494.SupplTable4	JMJD1C
TRMeffector.Anadon.35427494.SupplTable4	IRF7
TRMeffector.Anadon.35427494.SupplTable4	USP34
TRMeffector.Anadon.35427494.SupplTable4	SLFN12L
TRMeffector.Anadon.35427494.SupplTable4	RUNX3
TRMeffector.Anadon.35427494.SupplTable4	PCSK7
TRMeffector.Anadon.35427494.SupplTable4	PCM1
TRMeffector.Anadon.35427494.SupplTable4	DDX60L
TRMeffector.Anadon.35427494.SupplTable4	PTBP3
TRMeffector.Anadon.35427494.SupplTable4	ZBTB38
TRMeffector.Anadon.35427494.SupplTable4	TPR
TRMeffector.Anadon.35427494.SupplTable4	KMT2A
TRMeffector.Anadon.35427494.SupplTable4	CTSA
TRMeffector.Anadon.35427494.SupplTable4	CYTH4
TRMeffector.Anadon.35427494.SupplTable4	NSD1
TRMeffector.Anadon.35427494.SupplTable4	PDE7A
TRMeffector.Anadon.35427494.SupplTable4	ITK
TRMeffector.Anadon.35427494.SupplTable4	MYH9
TRMeffector.Anadon.35427494.SupplTable4	ZNF644
TRMeffector.Anadon.35427494.SupplTable4	SYTL3
TRMeffector.Anadon.35427494.SupplTable4	PRF1
TRMeffector.Anadon.35427494.SupplTable4	KIAA1109
TRMeffector.Anadon.35427494.SupplTable4	ZFP36L2
TRMeffector.Anadon.35427494.SupplTable4	ADAM8
TRMeffector.Anadon.35427494.SupplTable4	MCL1
TRMeffector.Anadon.35427494.SupplTable4	PRKX
TRMeffector.Anadon.35427494.SupplTable4	CD69
TRMeffector.Anadon.35427494.SupplTable4	ATF7IP
TRMeffector.Anadon.35427494.SupplTable4	PECAM1
TRMeffector.Anadon.35427494.SupplTable4	PIK3R1
TRMeffector.Anadon.35427494.SupplTable4	SRGAP3
TRMeffector.Anadon.35427494.SupplTable4	OAS2
TRMeffector.Anadon.35427494.SupplTable4	IFI16
TRMeffector.Anadon.35427494.SupplTable4	PARP12
TRMeffector.Anadon.35427494.SupplTable4	MLLT6
TRMeffector.Anadon.35427494.SupplTable4	FRYL
TRMeffector.Anadon.35427494.SupplTable4	OGT
TRMeffector.Anadon.35427494.SupplTable4	PARP15
TRMeffector.Anadon.35427494.SupplTable4	CCNT2
TRMeffector.Anadon.35427494.SupplTable4	CCNL1
TRMeffector.Anadon.35427494.SupplTable4	ATP8A1
TRMeffector.Anadon.35427494.SupplTable4	PJA2
TRMeffector.Anadon.35427494.SupplTable4	NIN
TRMeffector.Anadon.35427494.SupplTable4	RASA2
TRMeffector.Anadon.35427494.SupplTable4	DDHD1
