term	gene
HALLMARK.ADIPOGENESIS	ABCA1
HALLMARK.ADIPOGENESIS	ABCB8
HALLMARK.ADIPOGENESIS	ACAA2
HALLMARK.ADIPOGENESIS	ACADL
HALLMARK.ADIPOGENESIS	ACADM
HALLMARK.ADIPOGENESIS	ACADS
HALLMARK.ADIPOGENESIS	ACLY
HALLMARK.ADIPOGENESIS	ACO2
HALLMARK.ADIPOGENESIS	ACOX1
HALLMARK.ADIPOGENESIS	ADCY6
HALLMARK.ADIPOGENESIS	ADIG
HALLMARK.ADIPOGENESIS	ADIPOQ
HALLMARK.ADIPOGENESIS	ADIPOR2
HALLMARK.ADIPOGENESIS	ADIPOR2
HALLMARK.ADIPOGENESIS	AGPAT3
HALLMARK.ADIPOGENESIS	AIFM1
HALLMARK.ADIPOGENESIS	AK2
HALLMARK.ADIPOGENESIS	ALDH2
HALLMARK.ADIPOGENESIS	ALDOA
HALLMARK.ADIPOGENESIS	ANGPT1
HALLMARK.ADIPOGENESIS	ANGPTL4
HALLMARK.ADIPOGENESIS	APLP2
HALLMARK.ADIPOGENESIS	APOE
HALLMARK.ADIPOGENESIS	ARAF
HALLMARK.ADIPOGENESIS	ARL4A
HALLMARK.ADIPOGENESIS	ATL2
HALLMARK.ADIPOGENESIS	ATP1B3
HALLMARK.ADIPOGENESIS	ATP5PO
HALLMARK.ADIPOGENESIS	BAZ2A
HALLMARK.ADIPOGENESIS	BCKDHA
HALLMARK.ADIPOGENESIS	BCL2L13
HALLMARK.ADIPOGENESIS	BCL6
HALLMARK.ADIPOGENESIS	C3
HALLMARK.ADIPOGENESIS	CAT
HALLMARK.ADIPOGENESIS	CAVIN1
HALLMARK.ADIPOGENESIS	CAVIN2
HALLMARK.ADIPOGENESIS	CCNG2
HALLMARK.ADIPOGENESIS	CD151
HALLMARK.ADIPOGENESIS	CD302
HALLMARK.ADIPOGENESIS	CD36
HALLMARK.ADIPOGENESIS	CDKN2C
HALLMARK.ADIPOGENESIS	CHCHD10
HALLMARK.ADIPOGENESIS	CHCHD10
HALLMARK.ADIPOGENESIS	CHUK
HALLMARK.ADIPOGENESIS	CIDEA
HALLMARK.ADIPOGENESIS	CMBL
HALLMARK.ADIPOGENESIS	CMPK1
HALLMARK.ADIPOGENESIS	COL15A1
HALLMARK.ADIPOGENESIS	COL4A1
HALLMARK.ADIPOGENESIS	COQ3
HALLMARK.ADIPOGENESIS	COQ5
HALLMARK.ADIPOGENESIS	COQ9
HALLMARK.ADIPOGENESIS	COX6A1
HALLMARK.ADIPOGENESIS	COX7B
HALLMARK.ADIPOGENESIS	COX8A
HALLMARK.ADIPOGENESIS	CPT2
HALLMARK.ADIPOGENESIS	CRAT
HALLMARK.ADIPOGENESIS	CS
HALLMARK.ADIPOGENESIS	CYC1
HALLMARK.ADIPOGENESIS	CYP4B1
HALLMARK.ADIPOGENESIS	DBT
HALLMARK.ADIPOGENESIS	DDT
HALLMARK.ADIPOGENESIS	DDT
HALLMARK.ADIPOGENESIS	DECR1
HALLMARK.ADIPOGENESIS	DGAT1
HALLMARK.ADIPOGENESIS	DGAT1
HALLMARK.ADIPOGENESIS	DHCR7
HALLMARK.ADIPOGENESIS	DHRS7
HALLMARK.ADIPOGENESIS	DHRS7B
HALLMARK.ADIPOGENESIS	DLAT
HALLMARK.ADIPOGENESIS	DLD
HALLMARK.ADIPOGENESIS	DNAJB9
HALLMARK.ADIPOGENESIS	DNAJC15
HALLMARK.ADIPOGENESIS	DRAM2
HALLMARK.ADIPOGENESIS	ECH1
HALLMARK.ADIPOGENESIS	ECH1
HALLMARK.ADIPOGENESIS	ECHS1
HALLMARK.ADIPOGENESIS	ELMOD3
HALLMARK.ADIPOGENESIS	ELOVL6
HALLMARK.ADIPOGENESIS	ENPP2
HALLMARK.ADIPOGENESIS	EPHX2
HALLMARK.ADIPOGENESIS	ESRRA
HALLMARK.ADIPOGENESIS	ESYT1
HALLMARK.ADIPOGENESIS	ETFB
HALLMARK.ADIPOGENESIS	FABP4
