## Project Name: PAN_ICI_Melanoma_OS
## Expression Matrix File Name: Expression_Data.zip
## Meta Data File Name: Clinical_Data.txt
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt
## Survival/Event Variables: OS.time /// OS
## Number of Samples: 42
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set
## Pathways were ranked by Coxph Likelihood_Ratio_Pval
## Hazard Ratios > 1 represent pathway scores associated with High-Risk
variable	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	Criteria	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	Hazard_Ratio	std.error	statistic	nevent	conf.low	conf.high	ci	High_AboveMedian_Pval	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Chisq	df	HazardAssumption_Global_Pval	Median_Score	Mean_Score	Min_Score	Max_Score
HALLMARK.ADIPOGENESIS	HALLMARK.ADIPOGENESIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.ADIPOGENESISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,500	0.56	0.393	-1.45	28.0	0.26	1.22	0.26, 1.22	0.15	0.567	0.1	0.1	0.1	0.137	1	0.71	0.441794874617622	0.43925216173684	0.378847287776064	0.518959668347049
HALLMARK.ALLOGRAFT.REJECTION	HALLMARK.ALLOGRAFT.REJECTION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.ALLOGRAFT.REJECTIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,609	0.54	0.394	-1.56	28.0	0.25	1.17	0.25, 1.17	0.12	0.57	0.1	0.1	0.1	0.329	1	0.57	0.279462848785759	0.294705913844247	0.0534275931690641	0.508608125481666
HALLMARK.ANDROGEN.RESPONSE	HALLMARK.ANDROGEN.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.ANDROGEN.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	13,570	0.64	0.382	-1.15	28.0	0.30	1.36	0.30, 1.36	0.3	0.558	0.2	0.3	0.2	0.0578	1	0.81	0.490224843623481	0.485823860638668	0.440891275907346	0.532347379636502
HALLMARK.ANGIOGENESIS	HALLMARK.ANGIOGENESIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.ANGIOGENESISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	16	11,277	1.68	0.386	1.34	28.0	0.79	3.58	0.79, 3.58	0.2	0.576	0.2	0.2	0.2	0.108	1	0.74	0.374055896553998	0.364352959170941	0.1718483944824	0.547377336263782
HALLMARK.APICAL.JUNCTION	HALLMARK.APICAL.JUNCTION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.APICAL.JUNCTIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,708	0.82	0.383	-0.517	28.0	0.39	1.74	0.39, 1.74	0.6	0.506	0.6	0.6	0.6	0.906	1	0.34	0.315426409496591	0.322990997529675	0.238207785554127	0.440907108033604
HALLMARK.APICAL.SURFACE	HALLMARK.APICAL.SURFACE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.APICAL.SURFACEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	11	14,758	0.53	0.393	-1.60	28.0	0.25	1.15	0.25, 1.15	0.11	0.548	0.1	0.1	0.1	3.41	1	0.065	0.143437052732207	0.136234816850573	0.00568462187776176	0.225559561478536
HALLMARK.APOPTOSIS	HALLMARK.APOPTOSIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.APOPTOSISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	14,977	0.60	0.386	-1.33	28.0	0.28	1.27	0.28, 1.27	0.2	0.559	0.2	0.2	0.2	0.0296	1	0.86	0.414975674230109	0.412889170329818	0.324732487861143	0.497492082004743
HALLMARK.BILE.ACID.METABOLISM	HALLMARK.BILE.ACID.METABOLISM.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.BILE.ACID.METABOLISMHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	11,690	1.15	0.379	0.372	28.0	0.55	2.42	0.55, 2.42	0.7	0.541	0.7	0.7	0.7	1.6	1	0.21	0.15537367761813	0.15779733629664	0.111875092213231	0.233560059164549
HALLMARK.CHOLESTEROL.HOMEOSTASIS	HALLMARK.CHOLESTEROL.HOMEOSTASIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.CHOLESTEROL.HOMEOSTASISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	13,694	0.70	0.384	-0.944	28.0	0.33	1.48	0.33, 1.48	0.3	0.526	0.3	0.3	0.3	1.5	1	0.22	0.391562924728931	0.392805278829269	0.323267616475862	0.473986543809443
HALLMARK.COAGULATION	HALLMARK.COAGULATION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.COAGULATIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,729	1.37	0.382	0.819	28.0	0.65	2.89	0.65, 2.89	0.4	0.555	0.4	0.4	0.4	0.542	1	0.46	0.258323634931398	0.264421836654984	0.100569775696778	0.392696992438606
HALLMARK.COMPLEMENT	HALLMARK.COMPLEMENT.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.COMPLEMENTHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,609	0.54	0.394	-1.56	28.0	0.25	1.17	0.25, 1.17	0.12	0.57	0.1	0.1	0.1	0.329	1	0.57	0.333923339810429	0.336048242514158	0.16147787961031	0.475097158048008
HALLMARK.DNA.REPAIR	HALLMARK.DNA.REPAIR.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.DNA.REPAIRHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	12,410	1.15	0.379	0.363	28.0	0.55	2.41	0.55, 2.41	0.7	0.505	0.7	0.7	0.7	0.37	1	0.54	0.409281530558829	0.405461027367574	0.304831941249886	0.459425771910534
