## Project Name: PAN_ICI_Melanoma_OS																																									
## Expression Matrix File Name: Expression_Data.zip																																									
## Meta Data File Name: Clinical_Data.txt																																									
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt																																									
## Survival/Event Variables: OS.time /// OS																																									
## Number of Samples: 42																																									
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets																																									
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set																																									
## Pathways were ranked by Coxph Likelihood_Ratio_Pval																																									
## Hazard Ratios > 1 represent pathway scores associated with High-Risk																																									
variable	Hazard_Ratio	ci	High_AboveMedian_Pval	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_adjPval_BH	Wald_Test_adjPval_BH	Logrank_Test_adjPval_BH	HazardAssumption_Global_Pval	Chisq	df	Criteria	Median_Score	Mean_Score	Min_Score	Max_Score	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	std.error	statistic	nevent	conf.low	conf.high
HALLMARK.HEME.METABOLISM	0.31	0.14, 0.68	0.003	0.657	0.003	0.003	0.002	0.075	0.1	0.05	0.41	0.677	1	High_AboveMedian	0.293440212673238	0.294021186281676	0.230292897369296	0.332952555945105	HALLMARK.HEME.METABOLISM.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.HEME.METABOLISMHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	10	17,113	0.401	-2.92	28.0	0.14	0.68
HALLMARK.PI3K.AKT.MTOR.SIGNALING	0.32	0.15, 0.69	0.004	0.677	0.003	0.004	0.002	0.075	0.1	0.05	0.014	5.98	1	High_AboveMedian	0.44882302188932	0.447260605468417	0.378719051324975	0.497875012000943	HALLMARK.PI3K.AKT.MTOR.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.PI3K.AKT.MTOR.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	11	17,658	0.394	-2.92	28.0	0.15	0.69
HALLMARK.NOTCH.SIGNALING	0.39	0.18, 0.85	0.018	0.612	0.02	0.02	0.01	0.333333333333333	0.333333333333333	0.166666666666667	0.93	0.00737	1	High_AboveMedian	0.380359761092533	0.378802699670923	0.265255309124852	0.494907894557865	HALLMARK.NOTCH.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.NOTCH.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	10	15,439	0.397	-2.36	28.0	0.18	0.85
HALLMARK.ESTROGEN.RESPONSE.EARLY	0.44	0.20, 0.97	0.041	0.57	0.04	0.04	0.04	0.333333333333333	0.333333333333333	0.333333333333333	0.046	3.97	1	High_AboveMedian	0.190708472135466	0.191825215154198	0.10785797069505	0.303999749614688	HALLMARK.ESTROGEN.RESPONSE.EARLY.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.ESTROGEN.RESPONSE.EARLYHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	10	15,305	0.400	-2.04	28.0	0.20	0.97
HALLMARK.ESTROGEN.RESPONSE.LATE	0.44	0.20, 0.97	0.043	0.568	0.04	0.04	0.04	0.333333333333333	0.333333333333333	0.333333333333333	0.043	4.1	1	High_AboveMedian	0.151859446217244	0.156340526087376	0.0655222973781597	0.30191931590025	HALLMARK.ESTROGEN.RESPONSE.LATE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.ESTROGEN.RESPONSE.LATEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	10	15,135	0.400	-2.03	28.0	0.20	0.97
HALLMARK.INTERFERON.GAMMA.RESPONSE	0.45	0.21, 0.97	0.043	0.612	0.04	0.04	0.04	0.333333333333333	0.333333333333333	0.333333333333333	0.39	0.729	1	High_AboveMedian	0.439406584770405	0.458618886073128	0.22602084009158	0.677491274371401	HALLMARK.INTERFERON.GAMMA.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.INTERFERON.GAMMA.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	16,667	0.395	-2.03	28.0	0.21	0.97
HALLMARK.IL2.STAT5.SIGNALING	0.50	0.23, 1.07	0.072	0.578	0.07	0.07	0.07	0.384615384615385	0.384615384615385	0.384615384615385	0.64	0.216	1	High_AboveMedian	0.242990095324104	0.241045803156028	0.142025527487987	0.359652288631836	HALLMARK.IL2.STAT5.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.IL2.STAT5.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	11	15,082	0.391	-1.80	28.0	0.23	1.07
HALLMARK.IL6.JAK.STAT3.SIGNALING	0.52	0.24, 1.12	0.093	0.584	0.09	0.09	0.09	0.384615384615385	0.384615384615385	0.384615384615385	0.93	0.00688	1	High_AboveMedian	0.151166738298948	0.16101799154391	-0.0483466954025631	0.358595524244232	HALLMARK.IL6.JAK.STAT3.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.IL6.JAK.STAT3.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,735	0.394	-1.68	28.0	0.24	1.12
HALLMARK.ADIPOGENESIS	0.56	0.26, 1.22	0.15	0.567	0.1	0.1	0.1	0.384615384615385	0.384615384615385	0.384615384615385	0.71	0.137	1	High_AboveMedian	0.441794874617622	0.43925216173684	0.378847287776064	0.518959668347049	HALLMARK.ADIPOGENESIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.ADIPOGENESISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,500	0.393	-1.45	28.0	0.26	1.22
HALLMARK.ALLOGRAFT.REJECTION	0.54	0.25, 1.17	0.12	0.57	0.1	0.1	0.1	0.384615384615385	0.384615384615385	0.384615384615385	0.57	0.329	1	High_AboveMedian	0.279462848785759	0.294705913844247	0.0534275931690641	0.508608125481666	HALLMARK.ALLOGRAFT.REJECTION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.ALLOGRAFT.REJECTIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,609	0.394	-1.56	28.0	0.25	1.17
