SampleName	HALLMARK.ADIPOGENESIS_BIN	HALLMARK.ALLOGRAFT.REJECTION_BIN	HALLMARK.ANDROGEN.RESPONSE_BIN	HALLMARK.ANGIOGENESIS_BIN	HALLMARK.APICAL.JUNCTION_BIN	HALLMARK.APICAL.SURFACE_BIN	HALLMARK.APOPTOSIS_BIN	HALLMARK.BILE.ACID.METABOLISM_BIN	HALLMARK.CHOLESTEROL.HOMEOSTASIS_BIN	HALLMARK.COAGULATION_BIN	HALLMARK.COMPLEMENT_BIN	HALLMARK.DNA.REPAIR_BIN	HALLMARK.E2F.TARGETS_BIN	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION_BIN	HALLMARK.ESTROGEN.RESPONSE.EARLY_BIN	HALLMARK.ESTROGEN.RESPONSE.LATE_BIN	HALLMARK.FATTY.ACID.METABOLISM_BIN	HALLMARK.G2M.CHECKPOINT_BIN	HALLMARK.GLYCOLYSIS_BIN	HALLMARK.HEDGEHOG.SIGNALING_BIN	HALLMARK.HEME.METABOLISM_BIN	HALLMARK.HYPOXIA_BIN	HALLMARK.IL2.STAT5.SIGNALING_BIN	HALLMARK.IL6.JAK.STAT3.SIGNALING_BIN	HALLMARK.INFLAMMATORY.RESPONSE_BIN	HALLMARK.INTERFERON.ALPHA.RESPONSE_BIN	HALLMARK.INTERFERON.GAMMA.RESPONSE_BIN	HALLMARK.KRAS.SIGNALING.DN_BIN	HALLMARK.KRAS.SIGNALING.UP_BIN	HALLMARK.MITOTIC.SPINDLE_BIN	HALLMARK.MTORC1.SIGNALING_BIN	HALLMARK.MYC.TARGETS.V1_BIN	HALLMARK.MYC.TARGETS.V2_BIN	HALLMARK.MYOGENESIS_BIN	HALLMARK.NOTCH.SIGNALING_BIN	HALLMARK.OXIDATIVE.PHOSPHORYLATION_BIN	HALLMARK.P53.PATHWAY_BIN	HALLMARK.PANCREAS.BETA.CELLS_BIN	HALLMARK.PEROXISOME_BIN	HALLMARK.PI3K.AKT.MTOR.SIGNALING_BIN	HALLMARK.PROTEIN.SECRETION_BIN	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY_BIN	HALLMARK.SPERMATOGENESIS_BIN	HALLMARK.TGF.BETA.SIGNALING_BIN	HALLMARK.TNFA.SIGNALING.VIA.NFKB_BIN	HALLMARK.UNFOLDED.PROTEIN.RESPONSE_BIN	HALLMARK.UV.RESPONSE.DN_BIN	HALLMARK.UV.RESPONSE.UP_BIN	HALLMARK.WNT.BETA.CATENIN.SIGNALING_BIN	HALLMARK.XENOBIOTIC.METABOLISM_BIN
Gide_Cell_2019.iP01.ar.887	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian
Gide_Cell_2019.iP01.ar.888	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian
Gide_Cell_2019.iP02.ar.898	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian
Gide_Cell_2019.iP04.ar.561	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian
Gide_Cell_2019.iP06.ar.924	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian
Gide_Cell_2019.iP07.ar.562	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian
Gide_Cell_2019.iP08.ar.926	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian
Gide_Cell_2019.iP09.ar.927	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian
Gide_Cell_2019.iP10.ar.889	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian
Gide_Cell_2019.iP12.ar.890	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian
