## Project Name: Pan_ICI_iAtlas_Skin_OS
## Expression Matrix File Name: Pan_ICI_iAtlas_Expr_Skin.zip
## Meta Data File Name: Pan_ICI_iAtlas_Meta_Skin.txt
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt
## Survival/Event Variables: OS.time /// OS
## Number of Samples: 382
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set
## Pathways were ranked by Coxph P.value
## Hazard Ratios > 1 represent pathway scores associated with High-Risk
variable	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	Criteria	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	Hazard_Ratio	std.error	statistic	nevent	conf.low	conf.high	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH
HALLMARK.ADIPOGENESIS.BIN	HALLMARK.ADIPOGENESIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.ADIPOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	103	109,600	1.09	0.141	0.624	201	0.83	1.44	0.83, 1.44	0.5	0.51	0.5	0.5	0.5	0.5	0.5	0.5
HALLMARK.ALLOGRAFT.REJECTION.BIN	HALLMARK.ALLOGRAFT.REJECTION.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.ALLOGRAFT.REJECTION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	90	124,543	0.67	0.143	-2.84	201	0.50	0.88	0.50, 0.88	0.005	0.553	0.004	0.005	0.004	0.005	0.005	0.005
HALLMARK.ANDROGEN.RESPONSE.BIN	HALLMARK.ANDROGEN.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.ANDROGEN.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	99	110,835	0.97	0.141	-0.223	201	0.73	1.28	0.73, 1.28	0.8	0.51	0.8	0.8	0.8	0.8	0.8	0.8
HALLMARK.ANGIOGENESIS.BIN	HALLMARK.ANGIOGENESIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.ANGIOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	101	110,813	1.03	0.141	0.230	201	0.78	1.36	0.78, 1.36	0.8	0.506	0.8	0.8	0.8	0.8	0.8	0.8
HALLMARK.APICAL.JUNCTION.BIN	HALLMARK.APICAL.JUNCTION.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.APICAL.JUNCTION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	192	99	117,167	0.92	0.142	-0.598	201	0.70	1.21	0.70, 1.21	0.5	0.508	0.5	0.5	0.5	0.5	0.5	0.5
HALLMARK.APICAL.SURFACE.BIN	HALLMARK.APICAL.SURFACE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.APICAL.SURFACE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	98	114,568	0.89	0.141	-0.850	201	0.67	1.17	0.67, 1.17	0.4	0.526	0.4	0.4	0.4	0.4	0.4	0.4
HALLMARK.APOPTOSIS.BIN	HALLMARK.APOPTOSIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.APOPTOSIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	96	113,596	0.87	0.141	-1.00	201	0.66	1.15	0.66, 1.15	0.3	0.53	0.3	0.3	0.3	0.3	0.3	0.3
HALLMARK.BILE.ACID.METABOLISM.BIN	HALLMARK.BILE.ACID.METABOLISM.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.BILE.ACID.METABOLISM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	91	119,259	0.74	0.142	-2.13	201	0.56	0.98	0.56, 0.98	0.033	0.539	0.03	0.03	0.03	0.03	0.03	0.03
HALLMARK.CHOLESTEROL.HOMEOSTASIS.BIN	HALLMARK.CHOLESTEROL.HOMEOSTASIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.CHOLESTEROL.HOMEOSTASIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	101	109,299	1.04	0.141	0.253	201	0.79	1.37	0.79, 1.37	0.8	0.502	0.8	0.8	0.8	0.8	0.8	0.8
HALLMARK.COAGULATION.BIN	HALLMARK.COAGULATION.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	High_AboveMedian	HALLMARK.COAGULATION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	94	115,283	0.83	0.142	-1.31	201	0.63	1.10	0.63, 1.10	0.2	0.526	0.2	0.2	0.2	0.2	0.2	0.2
