## Project Name: Pan_ICI_iAtlas_Skin_OS
## Expression Matrix File Name: Pan_ICI_iAtlas_Expr_Skin.zip
## Meta Data File Name: Pan_ICI_iAtlas_Meta_Skin.txt
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt
## Survival/Event Type: OS.time /// OS
## Number of Samples: 378
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set then ran through interactive Cox Proportional Hazard Analysis with the covariate
## Pathways were ranked by Coxph P.value
## Hazard Ratios > 1 represent pathway scores associated with High-Risk
## Covariate and Reference Variable: Responder Referencing FALSE
## Covariate Breakdown:
### Variable: FALSE ( N = 157 )
### Variable: TRUE ( N = 221 )
variable	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	Criteria	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	Hazard_Ratio	std.error	statistic	nevent	conf.low	conf.high	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH
HALLMARK.ADIPOGENESIS.BIN	HALLMARK.ADIPOGENESIS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.ADIPOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	183	100	108,160	0.51	0.223	-2.98	198	0.33	0.80	0.33, 0.80	0.003	0.615	1e-08	6e-08	1e-08	1.5e-08	6e-08	1.5e-08
HALLMARK.ALLOGRAFT.REJECTION.BIN	HALLMARK.ALLOGRAFT.REJECTION.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.ALLOGRAFT.REJECTION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	186	88	123,113	0.65	0.215	-2.00	198	0.43	0.99	0.43, 0.99	0.046	0.594	2e-04	1e-04	8e-05	2e-04	0.00015	0.00015
HALLMARK.ANDROGEN.RESPONSE.BIN	HALLMARK.ANDROGEN.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.ANDROGEN.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	96	110,721	0.54	0.215	-2.86	198	0.35	0.82	0.35, 0.82	0.004	0.589	4e-06	3e-06	1e-06	4e-06	4e-06	3e-06
HALLMARK.ANGIOGENESIS.BIN	HALLMARK.ANGIOGENESIS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.ANGIOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	98	110,699	0.65	0.210	-2.03	198	0.43	0.99	0.43, 0.99	0.043	0.595	4e-05	4e-05	2e-05	4e-05	4e-05	4e-05
HALLMARK.APICAL.JUNCTION.BIN	HALLMARK.APICAL.JUNCTION.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.APICAL.JUNCTION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	97	115,737	1.13	0.205	0.607	198	0.76	1.69	0.76, 1.69	0.5	0.59	6e-04	8e-04	6e-04	8e-04	8e-04	8e-04
HALLMARK.APICAL.SURFACE.BIN	HALLMARK.APICAL.SURFACE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.APICAL.SURFACE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	96	113,138	0.56	0.208	-2.78	198	0.37	0.84	0.37, 0.84	0.005	0.597	2e-05	1e-05	5e-06	2e-05	1.5e-05	1.5e-05
HALLMARK.APOPTOSIS.BIN	HALLMARK.APOPTOSIS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.APOPTOSIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	93	112,156	0.58	0.213	-2.58	198	0.38	0.88	0.38, 0.88	0.010	0.591	5e-05	2e-05	1e-05	5e-05	3e-05	3e-05
HALLMARK.BILE.ACID.METABOLISM.BIN	HALLMARK.BILE.ACID.METABOLISM.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.BILE.ACID.METABOLISM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	91	117,933	0.74	0.207	-1.43	198	0.50	1.12	0.50, 1.12	0.2	0.586	6e-04	5e-04	4e-04	6e-04	6e-04	6e-04
HALLMARK.CHOLESTEROL.HOMEOSTASIS.BIN	HALLMARK.CHOLESTEROL.HOMEOSTASIS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.CHOLESTEROL.HOMEOSTASIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	98	107,859	0.78	0.209	-1.19	198	0.52	1.17	0.52, 1.17	0.2	0.593	3e-04	3e-04	2e-04	3e-04	3e-04	3e-04
HALLMARK.COAGULATION.BIN	HALLMARK.COAGULATION.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.COAGULATION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	186	92	115,179	0.73	0.212	-1.52	198	0.48	1.10	0.48, 1.10	0.13	0.577	8e-04	6e-04	4e-04	8e-04	8e-04	8e-04
