## Project Name: Pan_ICI_iAtlas_Skin_OS																																		
## Expression Matrix File Name: Pan_ICI_iAtlas_Expr_Skin.zip																																		
## Meta Data File Name: Pan_ICI_iAtlas_Meta_Skin.txt																																		
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt																																		
## Survival/Event Variables: OS.time /// OS																																		
## Number of Samples: 382																																		
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets																																		
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set																																		
## Pathways were ranked by Coxph P.value																																		
## Hazard Ratios > 1 represent pathway scores associated with High-Risk																																		
variable	Hazard_Ratio	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH	Criteria	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	std.error	statistic	nevent	conf.low	conf.high
HALLMARK.INTERFERON.ALPHA.RESPONSE	0.60	0.45, 0.79	<0.001	0.571	3e-04	3e-04	3e-04	3e-04	3e-04	3e-04	High_AboveMedian	HALLMARK.INTERFERON.ALPHA.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.INTERFERON.ALPHA.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	86	125,845	0.143	-3.58	201	0.45	0.79
HALLMARK.INTERFERON.GAMMA.RESPONSE	0.58	0.44, 0.77	<0.001	0.571	1e-04	2e-04	1e-04	0.00015	2e-04	0.00015	High_AboveMedian	HALLMARK.INTERFERON.GAMMA.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.INTERFERON.GAMMA.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	85	126,422	0.144	-3.76	201	0.44	0.77
HALLMARK.ALLOGRAFT.REJECTION	0.67	0.50, 0.88	0.005	0.553	0.004	0.005	0.004	0.005	0.005	0.005	High_AboveMedian	HALLMARK.ALLOGRAFT.REJECTION.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.ALLOGRAFT.REJECTION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	90	124,543	0.143	-2.84	201	0.50	0.88
HALLMARK.COMPLEMENT	0.67	0.51, 0.88	0.005	0.559	0.004	0.005	0.004	0.005	0.005	0.005	High_AboveMedian	HALLMARK.COMPLEMENT.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.COMPLEMENT.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	89	122,373	0.142	-2.84	201	0.51	0.88
HALLMARK.GLYCOLYSIS	1.47	1.12, 1.95	0.006	0.549	0.006	0.006	0.006	0.006	0.006	0.006	High_AboveMedian	HALLMARK.GLYCOLYSIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.GLYCOLYSIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	113	102,824	0.142	2.73	201	1.12	1.95
HALLMARK.DNA.REPAIR	1.47	1.11, 1.94	0.007	0.55	0.007	0.007	0.007	0.007	0.007	0.007	High_AboveMedian	HALLMARK.DNA.REPAIR.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.DNA.REPAIR.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	110	98,618	0.142	2.70	201	1.11	1.94
HALLMARK.PROTEIN.SECRETION	1.46	1.10, 1.93	0.008	0.538	0.008	0.008	0.008	0.008	0.008	0.008	High_AboveMedian	HALLMARK.PROTEIN.SECRETION.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.PROTEIN.SECRETION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	113	101,041	0.143	2.65	201	1.10	1.93
HALLMARK.TNFA.SIGNALING.VIA.NFKB	0.69	0.52, 0.91	0.01	0.553	0.009	0.01	0.009	0.01	0.01	0.01	High_AboveMedian	HALLMARK.TNFA.SIGNALING.VIA.NFKB.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.TNFA.SIGNALING.VIA.NFKB.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	89	120,204	0.142	-2.59	201	0.52	0.91
HALLMARK.MYC.TARGETS.V1	1.41	1.07, 1.86	0.016	0.54	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	HALLMARK.MYC.TARGETS.V1.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.MYC.TARGETS.V1.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	109	98,551	0.142	2.42	201	1.07	1.86
HALLMARK.IL6.JAK.STAT3.SIGNALING	0.72	0.54, 0.94	0.018	0.544	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	HALLMARK.IL6.JAK.STAT3.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.IL6.JAK.STAT3.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	91	121,240	0.142	-2.36	201	0.54	0.94
HALLMARK.KRAS.SIGNALING.UP	0.71	0.54, 0.94	0.018	0.546	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	HALLMARK.KRAS.SIGNALING.UP.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.KRAS.SIGNALING.UP.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	90	119,255	0.142	-2.37	201	0.54	0.94
HALLMARK.BILE.ACID.METABOLISM	0.74	0.56, 0.98	0.033	0.539	0.03	0.03	0.03	0.03	0.03	0.03	High_AboveMedian	HALLMARK.BILE.ACID.METABOLISM.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.BILE.ACID.METABOLISM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	91	119,259	0.142	-2.13	201	0.56	0.98
HALLMARK.IL2.STAT5.SIGNALING	0.74	0.56, 0.98	0.036	0.542	0.04	0.04	0.04	0.04	0.04	0.04	High_AboveMedian	HALLMARK.IL2.STAT5.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.IL2.STAT5.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	93	120,795	0.142	-2.09	201	0.56	0.98
HALLMARK.OXIDATIVE.PHOSPHORYLATION	1.33	1.01, 1.76	0.043	0.537	0.04	0.04	0.04	0.04	0.04	0.04	High_AboveMedian	HALLMARK.OXIDATIVE.PHOSPHORYLATION.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.OXIDATIVE.PHOSPHORYLATION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	107	100,777	0.142	2.02	201	1.01	1.76
HALLMARK.UNFOLDED.PROTEIN.RESPONSE	1.30	0.98, 1.71	0.065	0.524	0.06	0.07	0.06	0.07	0.07	0.07	High_AboveMedian	HALLMARK.UNFOLDED.PROTEIN.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.UNFOLDED.PROTEIN.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	109	104,631	0.142	1.84	201	0.98	1.71
HALLMARK.TGF.BETA.SIGNALING	0.77	0.58, 1.02	0.066	0.535	0.07	0.07	0.07	0.07	0.07	0.07	High_AboveMedian	HALLMARK.TGF.BETA.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.TGF.BETA.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	193	94	120,114	0.142	-1.84	201	0.58	1.02
HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION	0.79	0.60, 1.05	0.1	0.526	0.1	0.1	0.1	0.1	0.1	0.1	High_AboveMedian	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	191	92	116,374	0.142	-1.64	201	0.60	1.05
HALLMARK.MITOTIC.SPINDLE	0.80	0.60, 1.05	0.11	0.517	0.1	0.1	0.1	0.1	0.1	0.1	High_AboveMedian	HALLMARK.MITOTIC.SPINDLE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.MITOTIC.SPINDLE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	194	91	114,811	0.142	-1.59	201	0.60	1.05
HALLMARK.MYC.TARGETS.V2	1.23	0.93, 1.63	0.14	0.525	0.1	0.1	0.1	0.1	0.1	0.1	High_AboveMedian	HALLMARK.MYC.TARGETS.V2.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.MYC.TARGETS.V2.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	107	105,654	0.141	1.48	201	0.93	1.63
HALLMARK.COAGULATION	0.83	0.63, 1.10	0.2	0.526	0.2	0.2	0.2	0.2	0.2	0.2	High_AboveMedian	HALLMARK.COAGULATION.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.COAGULATION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	94	115,283	0.142	-1.31	201	0.63	1.10
HALLMARK.HEME.METABOLISM	0.85	0.64, 1.12	0.2	0.531	0.2	0.2	0.2	0.2	0.2	0.2	High_AboveMedian	HALLMARK.HEME.METABOLISM.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.HEME.METABOLISM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	98	117,747	0.141	-1.17	201	0.64	1.12
HALLMARK.INFLAMMATORY.RESPONSE	0.84	0.64, 1.11	0.2	0.524	0.2	0.2	0.2	0.2	0.2	0.2	High_AboveMedian	HALLMARK.INFLAMMATORY.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.INFLAMMATORY.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	95	116,083	0.141	-1.25	201	0.64	1.11
