## Project Name: Pan_ICI_iAtlas_Skin_OS																																		
## Expression Matrix File Name: Pan_ICI_iAtlas_Expr_Skin.zip																																		
## Meta Data File Name: Pan_ICI_iAtlas_Meta_Skin.txt																																		
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt																																		
## Survival/Event Type: OS.time /// OS																																		
## Number of Samples: 378																																		
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets																																		
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set then ran through interactive Cox Proportional Hazard Analysis with the covariate																																		
## Pathways were ranked by Coxph P.value																																		
## Hazard Ratios > 1 represent pathway scores associated with High-Risk																																		
## Covariate and Reference Variable: Responder Referencing FALSE																																		
## Covariate Breakdown:																																		
### Variable: FALSE ( N = 157 )																																		
### Variable: TRUE ( N = 221 )																																		
variable	Hazard_Ratio	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH	Criteria	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	std.error	statistic	nevent	conf.low	conf.high
HALLMARK.INTERFERON.GAMMA.RESPONSE	0.62	0.46, 0.82	<0.001	0.603	3e-06	3e-06	2e-06	3e-06	3e-06	3e-06	High_AboveMedian	HALLMARK.INTERFERON.GAMMA.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.INTERFERON.GAMMA.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	83	124,992	0.146	-3.31	198	0.46	0.82
HALLMARK.INTERFERON.ALPHA.RESPONSE	0.63	0.47, 0.84	0.002	0.606	5e-06	5e-06	4e-06	5e-06	5e-06	5e-06	High_AboveMedian	HALLMARK.INTERFERON.ALPHA.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.INTERFERON.ALPHA.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	83	124,405	0.147	-3.16	198	0.47	0.84
HALLMARK.GLYCOLYSIS	1.53	1.15, 2.02	0.003	0.608	1e-05	9e-06	7e-06	1e-05	1e-05	1e-05	High_AboveMedian	HALLMARK.GLYCOLYSIS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.GLYCOLYSIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	110	101,384	0.144	2.94	198	1.15	2.02
HALLMARK.DNA.REPAIR	1.47	1.11, 1.95	0.007	0.605	2e-05	2e-05	1e-05	2e-05	2e-05	2e-05	High_AboveMedian	HALLMARK.DNA.REPAIR.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.DNA.REPAIR.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	183	107	97,178	0.143	2.70	198	1.11	1.95
HALLMARK.COMPLEMENT	0.69	0.52, 0.92	0.011	0.598	3e-05	3e-05	2e-05	3e-05	3e-05	3e-05	High_AboveMedian	HALLMARK.COMPLEMENT.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.COMPLEMENT.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	186	87	122,269	0.145	-2.53	198	0.52	0.92
HALLMARK.TNFA.SIGNALING.VIA.NFKB	0.69	0.52, 0.92	0.012	0.595	3e-05	3e-05	2e-05	3e-05	3e-05	3e-05	High_AboveMedian	HALLMARK.TNFA.SIGNALING.VIA.NFKB.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.TNFA.SIGNALING.VIA.NFKB.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	86	120,090	0.145	-2.52	198	0.52	0.92
HALLMARK.PROTEIN.SECRETION	1.43	1.08, 1.89	0.013	0.601	3e-05	3e-05	3e-05	3e-05	3e-05	3e-05	High_AboveMedian	HALLMARK.PROTEIN.SECRETION.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.PROTEIN.SECRETION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	110	100,927	0.144	2.48	198	1.08	1.89
HALLMARK.ALLOGRAFT.REJECTION	0.71	0.54, 0.95	0.021	0.594	5e-05	5e-05	4e-05	5e-05	5e-05	5e-05	High_AboveMedian	HALLMARK.ALLOGRAFT.REJECTION.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.ALLOGRAFT.REJECTION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	186	88	123,113	0.146	-2.31	198	0.54	0.95
HALLMARK.KRAS.SIGNALING.UP	0.72	0.54, 0.95	0.021	0.592	5e-05	5e-05	4e-05	5e-05	5e-05	5e-05	High_AboveMedian	HALLMARK.KRAS.SIGNALING.UP.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.KRAS.SIGNALING.UP.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	186	88	119,151	0.144	-2.31	198	0.54	0.95
HALLMARK.MYC.TARGETS.V1	1.39	1.05, 1.84	0.021	0.598	5e-05	5e-05	4e-05	5e-05	5e-05	5e-05	High_AboveMedian	HALLMARK.MYC.TARGETS.V1.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	HALLMARK.MYC.TARGETS.V1.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	106	98,437	0.143	2.30	198	1.05	1.84
