variable	Hazard_Ratio
AARD	1.6
ABCB11	0.59
ABCB6	1.67
ABHD18	0.6
ABI2	1.61
ABI3BP	0.62
AC134669.1	0.61
AC141272.1	0.62
AC233755.1	0.61
ACAP1	0.57
ACE	0.49
ACKR1	0.59
ACSM5	0.61
ACTR6	1.62
ADA2	0.6
ADAM28	0.54
ADAMDEC1	0.6
ADCY4	0.62
ADGRL1	1.73
ADK	0.59
ADM5	1.66
ADORA2B	1.72
ADRB2	0.57
AICDA	0.58
AKAP13	0.62
AKNA	0.5
AL159163.1	0.6
AL590764.2	0.58
ANAPC5	1.61
ANK1	0.57
AOAH	0.57
AOX1	0.59
AP2S1	1.63
APBB1IP	0.54
ARC	1.89
ARFIP1	1.62
ARG2	1.61
ARHGAP17	0.59
ARHGAP30	0.62
ARHGAP42	1.81
ARHGAP8	0.61
ARHGAP9	0.61
ARRB2	0.57
ARSK	1.68
ASIC1	1.69
ATP1B2	1.61
ATP2A3	0.56
B9D1	1.66
BANK1	0.42
BATF	0.6
BBS10	1.62
BFAR	1.64
BICDL1	0.58
BIN2	0.62
BIRC3	0.59
BLK	0.42
BLNK	0.49
BTBD3	1.82
BTK	0.58
BTLA	0.62
BZW2	1.67
C12orf42	0.58
C12orf57	1.65
C17orf99	0.6
C1S	0.61
C2orf66	1.61
C2orf80	1.87
C3	0.54
C5orf24	1.74
C9orf50	1.61
CAMK1D	0.61
CARD11	0.57
CARD17	0.6
CARMIL2	0.57
CASZ1	0.62
CAT	0.57
CBFA2T3	0.59
CCDC141	0.59
CCDC170	0.58
CCDC69	0.62
CCDC88B	0.58
CCDC88C	0.59
CCL19	0.62
CCNE2	1.74
CCR2	0.61
CCR4	0.53
CCR7	0.55
CCT2	1.81
CCT8	1.73
CD19	0.51
CD1B	0.6
CD1C	0.61
CD1E	0.54
CD2	0.58
CD200R1	0.62
CD247	0.55
CD27	0.6
CD37	0.58
CD3D	0.6
CD3E	0.59
CD3G	0.52
CD40LG	0.58
CD5	0.6
CD52	0.59
CD6	0.53
CD79A	0.44
CD96	0.6
CDH23	0.46
CDH24	1.61
CERS1	1.72
CERS4	1.7
CFB	0.62
CFP	0.6
CGNL1	0.61
CHIT1	0.5
CIBAR1	1.75
CIITA	0.55
CITED2	0.59
CLCNKB	1.71
CLDN12	1.71
CLEC10A	0.61
CLEC12B	0.59
CLEC17A	0.48
CLEC4C	0.6
CLNK	0.61
CMIP	0.51
CNR2	0.49
COL4A3	0.53
COL4A4	0.49
COL6A3	0.59
COL9A3	1.62
COLQ	0.61
COPS5	1.79
CORO2B	1.67
CR1L	0.59
CR2	0.46
CRB2	0.58
CRISPLD1	1.81
CRPPA	1.76
CRYBG1	0.61
CSF2RB	0.59
CTDP1	0.61
CUX2	0.61
CXCL13	0.62
CXCR5	0.51
CYBA	0.62
CYBB	0.6
CYLD	0.58
CYP2S1	0.57
DAGLA	1.61
DAZL	0.52
DCAF13	1.66
DCP2	1.8
DEF6	0.6
DENND2D	0.53
DGLUCY	0.57
DHRS9	0.58
DHX33	1.65
DNAH8	0.59
DNASE1L3	0.62
DNTT	0.52
DOCK11	0.54
DOCK2	0.53
DOCK8	0.52
DOK4	1.65
DPEP2	0.55
DPP4	0.61
DPP9	0.61
DPY19L4	1.91
DPYD	0.54
DUSP15	1.62
DYSF	0.58
DZIP1	1.97
ECEL1	0.6
EFNA5	1.75
EHBP1L1	0.61
EIF3E	1.63
ELAPOR1	0.56
ELMO1	0.55
ELP5	1.8
EMC2	1.73
EOMES	0.56
EPB41	0.53
EPB41L3	0.55
EPHA1	0.57
EPHB6	0.56
EPN2	1.68
ERAP2	0.51
ERMN	0.58
ESM1	1.61
EVA1B	1.61
EXOC3L4	0.58
F5	0.62
FA2H	0.57
FAM153B	0.62
FAM171A2	1.61
FAM181B	1.68
FAM209B	0.62
FAM216A	1.66
FARSB	1.65
FBXO22	1.66
FCMR	0.54
FCRL1	0.51
FCRL2	0.49
FCRL5	0.54
FGD3	0.56
FGR	0.62
FLRT3	1.66
FLT3	0.59
FLT3LG	0.56
FMNL1	0.56
FO681492.1	0.6
FSBP	1.9
FSCN1	1.76
FUNDC1	1.68
FUT7	0.52
FYCO1	0.61
GAMT	1.67
GAPDH	1.65
GAREM2	1.65
GDNF	1.94
GET1	1.84
GGT5	0.62
GID8	1.63
GIMAP7	0.58
GLT8D1	1.74
GLUD1	0.61
GNLY	0.57
GP1BA	0.53
GPR180	1.64
GPRASP2	1.75
GPX8	1.74
GSTA4	1.64
GZMK	0.62
HDGFL3	1.81
HERC3	0.53
HERPUD1	0.61
HLA.C	0.62
HLA.DMA	0.57
HLA.DOB	0.58
HLA.DPA1	0.55
HLA.DQA1	0.62
HLA.DQA2	0.55
HLA.DQB2	0.6
HLA.DRA	0.6
HLA.DRB1	0.58
HLA.E	0.52
HLA.F	0.57
HMCN2	0.52
HOXA3	1.9
HOXA5	1.89
HOXB13	1.69
HOXB2	1.66
HOXC10	1.79
HOXC6	1.84
