X1	X2
sample	SampleName
Sequencing_Method	Description
Analyte	Description
Biopsy_Site	Feature
Specific_Biopsy_Site	Feature
Metastatic_Biopsy	Feature
Sample_Treated	Feature
Sample_Treatment	Feature
Sample_Type	Feature
Normal	Feature
Primary_Tumor	Feature
Read_Length	Description
Batch_ID	Description
Sequencer	Description
Sequencer_ID	Description
Sample_Prep	Description
FFPE	Description
Storage	Description
Storage_Method	Description
File_Prefix	Description
Run_Name	Description
Pre_On_Treatment_Match	Description
Somatic_Workflow_Match	Description
Center	Description
Patient_ID	Description
TCGA_Study	Feature
TCGA_Subtype	Description
Cancer_Tissue	SampleType
Tissue_Subtype	Feature
M_Stage	Feature
Metastasized	Feature
Clinical_Stage	Feature
Response	Feature
Responder	Feature
Progression	Feature
Clinical_Benefit	Feature
OS	SurvivalID
OS.time	SurvivalTime
OS.event	NA
PFI	SurvivalID
PFI.time	SurvivalTime
PFI.event	NA
Age	Description
Sex	Feature
Race	Feature
Caucasian	Feature
Asian	Feature
African	Feature
Nat_American	Feature
Pac_Islander	Feature
Likely_Caucasian	Feature
ICI_Rx	Feature
aPD1_Rx	Feature
aCTLA4_Rx	Feature
ICI_Pathway	Feature
ICI_Target	Feature
Non_ICI_Rx	Feature
NeoICI_Rx	Feature
ICI_Tx	Feature
aPD1_Tx	Feature
aCTLA4_Tx	Feature
aCTLA4_aPD1_Tx	Feature
Non_ICI_Tx	Feature
NeoICI_Tx	Feature
Prior_Rx	Feature
Prior_ICI_Rx	Feature
Prior_Tx	Feature
Prior_ICI_Tx	Feature
Prior_aCTLA4_Tx	Feature
Prior_aMAPK_Tx	Feature
Subsq_Rx	Feature
Subsq_ICI_Rx	Feature
Subsq_Tx	Feature
Subsq_ICI_Tx	Feature
Subsq_aCTLA4_aPD1_Tx	Feature
Subsq_aCTLA4_Tx	Feature
Subsq_aMAPK_Tx	Feature
Patient_Name	Description
Dataset	Description
IMPRES	Description
TIDE_No_Benefits	Feature
TIDE_Responder	Feature
TIDE	Description
TIDE_IFNG	Description
TIDE_MSI	Description
TIDE_CD274	Description
TIDE_CD8	Description
TIDE_CTL_Flag	Feature
TIDE_Dysfunction	Description
TIDE_Exclusion	Description
TIDE_MDSC	Description
TIDE_CAF	Description
TIDE_TAM_M2	Description
TIDE_CTL	Description
Dataset_Cancer_Tissue	Description
Dataset_Cancer_Tissue	Description
Choueiri_CCR_2016_Kidney	Feature
Gide_Cell_2019_Skin	Feature
HugoLo_IPRES_2016_Skin	Feature
IMmotion150_Kidney	Feature
IMVigor210_Bladder	Feature
Kim_NatMed_2018_Stomach	Feature
Liu_NatMed_2019_Skin	Feature
Miao_Science_2018_Kidney	Feature
